terminal_id,tanggal,jumlah_kontainer,NON MITA,MITA,HIJAU,MERAH,KUNING,NON,BORDER,POST-BORDER,BORDER_POST-BORDER,lartas N,lartas Y,lartas NA,KARANTINA TUMBUHAN,KARANTINA HEWAN,KARANTINA IKAN,PRENO,NON_PRENO,avg_dt
JICT,2018-02-25,1676,1376,300,1523,104,49,425,293,932,26,1250,426,1556,100,18,2,347,1329,3.20
JICT,2018-02-26,2561,1501,1060,2343,150,68,804,880,815,62,1399,1162,2200,288,50,23,522,2039,3.15
JICT,2018-02-27,901,674,227,777,75,49,472,105,321,3,644,257,844,55,1,1,350,551,3.76
JICT,2018-02-28,1760,1089,671,1617,99,44,575,675,419,91,862,898,1578,146,21,15,1026,734,2.13
JICT,2018-03-01,2171,1660,511,1940,177,54,513,557,1085,16,1460,711,2047,103,14,7,1397,774,2.30
JICT,2018-03-02,194,113,81,173,16,5,85,20,89,0,159,35,188,6,0,0,162,32,1.92
JICT,2018-03-03,1626,1326,300,1465,134,27,510,502,578,36,919,707,1497,104,25,0,852,774,2.98
JICT,2018-03-04,1617,1042,575,1485,57,75,603,540,405,69,716,901,1366,176,74,1,322,1295,2.41
JICT,2018-03-05,1051,581,470,991,34,26,229,601,190,31,326,725,777,233,41,0,158,893,2.21
JICT,2018-03-06,1018,780,238,899,102,17,505,111,385,17,680,338,967,30,14,7,536,482,2.36
JICT,2018-03-07,1174,906,268,1038,103,33,280,450,245,199,474,700,828,268,63,15,439,735,2.09
JICT,2018-03-08,1781,1319,462,1618,59,104,615,727,383,56,748,1033,1564,182,34,1,799,982,2.31
JICT,2018-03-09,1775,1268,507,1585,134,56,677,696,351,51,743,1032,1624,102,13,36,1285,490,2.42
JICT,2018-03-10,1755,1201,554,1517,206,32,556,835,348,16,747,1008,1586,140,10,19,1016,739,3.07
JICT,2018-03-11,2638,1750,888,2355,241,42,622,1207,765,44,1208,1430,2177,381,44,36,561,2077,3.67
JICT,2018-03-12,1176,727,449,1061,78,37,391,556,221,8,528,648,1159,13,3,1,566,610,2.03
JICT,2018-03-13,1635,1285,350,1493,81,61,566,204,833,32,1187,448,1491,101,11,32,518,1117,2.66
JICT,2018-03-14,2142,1172,970,2012,92,38,574,1133,321,114,763,1379,1867,198,49,28,856,1286,2.06
JICT,2018-03-15,2367,1610,757,2171,74,122,833,1043,428,63,977,1390,1919,399,49,0,995,1372,2.80
JICT,2018-03-16,1511,1320,191,1289,156,66,575,212,723,1,1166,345,1350,53,23,85,870,641,3.77
JICT,2018-03-17,33,33,0,33,0,0,5,0,28,0,33,0,33,0,0,0,31,2,3.27
JICT,2018-03-18,2734,1931,803,2408,192,134,741,899,994,100,1516,1218,2304,279,53,98,423,2311,2.94
JICT,2018-03-19,699,581,118,572,73,54,405,96,196,2,498,201,678,4,5,12,72,627,3.23
JICT,2018-03-20,1187,930,257,1027,118,42,543,264,354,26,691,496,1139,47,0,1,528,659,1.82
JICT,2018-03-21,1411,997,414,1242,131,38,536,510,249,116,676,735,1187,185,39,0,492,919,2.66
JICT,2018-03-22,3262,2471,791,2923,187,152,1272,1060,726,204,1582,1680,2879,250,106,27,1593,1669,2.61
JICT,2018-03-23,845,763,82,712,90,43,311,269,262,3,518,327,812,31,2,0,599,246,3.07
JICT,2018-03-24,3863,2895,968,3408,350,105,1337,1101,1313,112,2271,1592,3427,412,24,0,1669,2194,3.76
JICT,2018-03-25,1210,1020,190,921,242,47,376,140,600,94,883,327,1044,109,17,40,236,974,3.53
JICT,2018-03-26,2691,1931,760,2435,160,96,933,716,964,78,1718,973,2325,281,77,8,1056,1635,2.58
JICT,2018-03-27,1399,1041,358,1291,81,27,677,282,407,33,901,498,1302,52,44,1,780,619,2.74
JICT,2018-03-28,2554,1899,655,2337,138,79,843,1078,552,81,1163,1391,2385,124,43,2,1313,1241,3.07
JICT,2018-03-29,2497,1943,554,2137,205,155,1109,693,661,34,1357,1140,2259,202,33,3,1215,1282,3.75
JICT,2018-03-30,1168,973,195,1037,94,37,389,364,374,41,642,526,1009,101,3,55,162,1006,4.76
JICT,2018-03-31,1718,1479,239,1569,117,32,507,323,846,42,1262,456,1527,182,2,7,486,1232,4.48
JICT,2018-04-01,1960,1328,632,1657,176,127,647,583,572,158,1047,913,1566,302,79,13,233,1727,3.61
JICT,2018-04-02,1517,1278,239,1197,237,83,613,182,666,56,1099,418,1331,182,2,2,538,979,3.12
JICT,2018-04-03,494,376,118,458,25,11,237,69,188,0,312,182,461,31,1,1,148,346,2.76
JICT,2018-04-04,2332,1742,590,2133,86,113,673,1115,454,90,989,1343,2082,198,47,5,799,1533,2.52
JICT,2018-04-05,2337,1762,575,2174,56,107,888,761,639,49,1128,1209,2156,111,62,8,1111,1226,2.68
JICT,2018-04-06,1707,1411,296,1573,74,60,617,703,342,45,826,881,1467,203,36,1,999,708,2.28
JICT,2018-04-07,3217,2345,872,2840,246,131,1060,1146,905,106,1746,1471,2881,308,23,5,1194,2023,3.79
JICT,2018-04-08,1660,966,694,1414,219,27,292,764,509,95,707,953,1239,301,103,17,298,1362,4.06
JICT,2018-04-09,1422,1287,135,1062,265,95,697,105,548,72,1089,333,1311,111,0,0,549,873,3.19
JICT,2018-04-10,1771,1510,261,1516,161,94,773,243,547,208,1109,662,1425,278,14,54,812,959,2.90
JICT,2018-04-11,2019,1278,741,1893,92,34,437,993,448,141,772,1247,1754,213,51,1,1093,926,2.29
JICT,2018-04-12,2386,1886,500,2108,158,120,873,575,881,57,1421,965,2142,227,17,0,1175,1211,2.93
JICT,2018-04-13,1827,1400,427,1653,114,60,767,569,460,31,1036,791,1657,133,30,7,933,894,3.22
JICT,2018-04-14,2224,1736,488,2112,81,31,901,435,824,64,1449,775,2087,94,38,5,684,1540,3.38
JICT,2018-04-15,1469,1176,293,1240,138,91,654,268,323,224,805,664,1198,251,12,8,166,1303,3.83
JICT,2018-04-16,1717,1023,694,1493,145,79,542,544,481,150,872,845,1409,225,82,1,792,925,2.71
JICT,2018-04-17,1437,1250,187,1256,121,60,531,89,703,114,1086,351,1285,150,1,1,761,676,2.61
JICT,2018-04-18,1308,821,487,1209,43,56,379,734,166,29,476,832,1212,73,22,1,469,839,2.28
JICT,2018-04-19,3238,2614,623,2846,240,152,900,1473,590,275,1191,2047,2623,560,55,0,1538,1700,2.67
JICT,2018-04-20,2293,1909,384,1992,218,83,778,405,1057,53,1701,592,2132,142,12,7,1176,1117,3.29
JICT,2018-04-21,2707,1941,766,2448,188,71,729,1039,829,110,1452,1255,2445,244,14,4,1794,913,2.42
JICT,2018-04-22,2047,1743,304,1872,115,60,588,637,608,214,1151,896,1689,299,52,7,441,1606,3.50
